circuit,algorithm,input_tcount,output_tcount,total_exec_ms,overall_exec_s,pairs_tested,sketch_filtered,filtered_miss,nullspace_runs,rebuild_count,local_add_count,aa_ms,sketch_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,fail_count,outfile
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa,112,54,338,0.372309,1465,,1460,5,1161,304,0.075,,327.225,327.225,0.836,,,,2213.97,3664.21,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_4_mult_lx2_dynamic_repair_chi_packed_aa.out
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa_sketch_5,112,54,449,0.502364,1465,258,1202,5,999,208,0.076,100.613,337.523,337.523,0.83,17.6109,184.165,41.0744,2349.29,3610.11,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_4_mult_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa_sketch_8,112,54,182,0.216327,1465,898,562,5,496,71,0.059,79.291,96.1,96.1,0.657,61.2969,293.636,47.4478,2572.92,3208.38,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_4_mult_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa_sketch_10,112,54,249,0.303206,1465,1132,328,5,296,37,0.072,150.511,90.589,90.589,0.831,77.2696,367.031,48.9713,2623.3,2925.05,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_4_mult_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa_sketch_13,112,54,140,0.174148,1465,1285,175,5,156,24,0.06,104.926,29.005,29.005,0.66,87.7133,476.735,50.0369,2537.33,2597.68,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_4_mult_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa_sketch_15,112,54,137,0.169381,1465,1342,118,5,105,18,0.05,113.175,18.947,18.947,0.531,91.6041,550.206,50.415,2573.64,2510.23,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_4_mult_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa,175,88,3025,3.18097,5763,,5754,9,4753,1010,0.171,,2974.15,2974.15,3.607,,,,3865.94,6447.13,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_5_mult_lx2_dynamic_repair_chi_packed_aa.out
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa_sketch_5,175,88,3536,3.68825,5763,1184,4570,9,3786,793,0.18,669.035,2811.28,2811.28,4.203,20.5449,323.39,69.1707,3900.6,5968.97,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_5_mult_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa_sketch_8,175,88,1693,1.84668,5763,3312,2442,9,1995,456,0.116,706.691,954.95,954.95,2.657,57.4701,516.278,78.8634,3767.18,5026.32,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_5_mult_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa_sketch_10,175,88,2461,2.71321,5763,4121,1633,9,1345,297,0.177,1379.62,1039.65,1039.65,4.17,71.5079,645.296,81.4841,3777.11,4630.44,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_5_mult_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
