circuit,variant,p,algorithm,input_tcount,output_tcount,total_exec_ms,total_exec_s,overall_exec_s,pairs_tested,sketch_filtered,sketch_skip_reuse,full_after_sketch,full_after_sketch_rate_pct,filtered_miss,nullspace_runs,rebuild_count,local_add_count,basis_update_count,basis_reuse_rate_pct,aa_ms,sketch_ms,sketch_build_ms,sketch_basis_ms,sketch_mem_ms,sketch_other_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,reuse_mem_reject,reuse_ns_runs,reuse_no_pair_y,reuse_no_reduce,reuse_reduced,reuse_mem_rej_rate_pct,reuse_no_red_rate_pct,fail_count,outfile
tof_5.tfc,reuse,30,lx2_dynamic_repair_chi_packed_aa_sketch_30,31,25,64,0.064,0.079401,426,412,0,14,3.286,11,3,11,3,14,21.429,0.033,61.219,6.348,0.122,0,54.749,1.473,1.473,0.37,96.7136,538.291,23.0634,773.077,943.571,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_30.out
tof_5.tfc,noreuse,30,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_30,31,25,64,0.064,0.080067,426,412,0,14,3.286,11,3,14,0,14,0.000,0.034,61.436,6.562,0.064,0.002,54.808,1.748,1.748,0.368,96.7136,538.291,23.0634,0,943.571,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_30.out
tof_10.tfc,baseline,,lx2_dynamic_repair_chi_packed_aa,71,55,1643,1.643,2.8934,2269,,,2269,100.000,2261,8,1752,517,2269,22.785,0.145,,,,,,1608.71,1608.71,4.438,,,,8716.48,15697.5,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa.out
tof_10.tfc,reuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_3,71,55,2657,2.657,4.78095,2269,529,0,1740,76.686,1732,8,1358,382,1740,21.954,0.245,612.673,305.171,6.169,0.005,301.328,1993,1993,7.608,23.3142,471.525,37.3711,9061.17,14304.5,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_3.out
tof_10.tfc,noreuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3,71,55,3408,3.408,5.51727,2269,529,0,1740,76.686,1732,8,1740,0,1740,0.000,0.247,622.062,312.597,6.862,0.004,302.599,2734.7,2734.7,7.615,23.3142,471.525,37.3711,0,14304.5,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3.out
tof_10.tfc,reuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_5,71,55,1953,1.953,4.08565,2269,1120,0,1149,50.639,1141,8,874,275,1149,23.934,0.241,797.962,307.486,7.84,0,482.636,1113.51,1113.51,7.598,49.361,785.322,42.5302,9166.67,11456.4,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
tof_10.tfc,noreuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5,71,55,1577,1.577,2.84096,2269,1120,0,1149,50.639,1141,8,1149,0,1149,0.000,0.182,507.344,196.542,1.619,0.003,309.18,1039.67,1039.67,5.199,49.361,785.322,42.5302,0,11456.4,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5.out
tof_10.tfc,reuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_8,71,55,1661,1.661,3.7671,2269,1582,0,687,30.278,679,8,507,180,687,26.201,0.252,1059.46,305.002,7.481,0,746.977,565.934,565.934,8.045,69.7223,1256.2,46.5619,8666.93,8749.99,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
tof_10.tfc,noreuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8,71,55,1926,1.926,4.03377,2269,1582,0,687,30.278,679,8,687,0,687,0.000,0.243,1067.88,310.269,8.62,0,748.986,822.026,822.026,7.981,69.7223,1256.2,46.5619,0,8749.99,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8.out
tof_10.tfc,reuse,10,lx2_dynamic_repair_chi_packed_aa_sketch_10,71,55,995,0.995,2.25027,2269,1762,0,507,22.345,499,8,363,144,507,28.402,0.169,748.826,185.575,1.267,0.005,561.979,225.086,225.086,5.123,77.6554,1570.27,48.2636,7854.5,7260.6,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
